Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1660594487,5,,Aggregated,2.000000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,269,0,1100.0,1271.4163349450394,426.0424999811221,4151.503299974138,733040.9516728624
1660594488,5,,Aggregated,2.200000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,272,0,1100.0,1271.131943382951,426.0424999811221,4151.503299974138,733909.6617647059
1660594489,5,,Aggregated,1.900000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,273,0,1100.0,1270.1509124548227,426.0424999811221,4151.503299974138,731349.1355311355
1660594490,5,,Aggregated,1.800000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,276,0,1100.0,1271.113819928175,426.0424999811221,4151.503299974138,732226.0869565217
1660594491,5,,Aggregated,1.800000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,277,0,1100.0,1271.6400870043215,426.0424999811221,4151.503299974138,733867.9747292419
1660594492,5,,Aggregated,1.800000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,280,0,1100.0,1273.5377471434601,426.0424999811221,4151.503299974138,735872.1535714286
1660594493,5,,Aggregated,1.800000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,282,0,1100.0,1274.8795929084142,426.0424999811221,4151.503299974138,743624.8723404255
1660594494,5,,Aggregated,1.800000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,284,0,1100.0,1273.2516010568565,426.0424999811221,4151.503299974138,738591.5176056338
1660594495,5,,Aggregated,1.800000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,287,0,1100.0,1274.4561829272607,426.0424999811221,4151.503299974138,735191.4285714285
1660594496,5,,Aggregated,2.000000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,289,0,1100.0,1270.203738754827,426.0424999811221,4151.503299974138,730155.9688581314
1660594497,5,,Aggregated,2.300000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,290,0,1100.0,1270.9558231039534,426.0424999811221,4151.503299974138,731738.6827586207
1660594498,5,,Aggregated,2.100000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,293,0,1100.0,1272.5615904441202,426.0424999811221,4151.503299974138,732166.0921501707
1660594499,5,,Aggregated,2.100000,0.000000,1100,1300,1600,1800,2200,2600,3200,3500,4200,4200,4200,296,0,1100.0,1276.0159861491293,426.0424999811221,4151.503299974138,737513.5
1660594500,5,,Aggregated,2.100000,0.000000,1100,1300,1600,1800,2200,2600,3200,3500,4200,4200,4200,297,0,1100.0,1273.7682572395856,426.0424999811221,4151.503299974138,735112.1245791246
1660594501,5,,Aggregated,2.200000,0.000000,1100,1300,1600,1800,2200,2600,3200,3500,4200,4200,4200,299,0,1100.0,1270.546243478833,426.0424999811221,4151.503299974138,730352.4414715719
1660594502,5,,Aggregated,2.200000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,303,0,1100.0,1273.171423762947,426.0424999811221,4151.503299974138,740421.5775577558
1660594503,5,,Aggregated,2.200000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,304,0,1100.0,1273.1790128295152,426.0424999811221,4151.503299974138,743804.572368421
1660594504,5,,Aggregated,2.200000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,305,0,1100.0,1275.3074993448117,426.0424999811221,4151.503299974138,749174.068852459
1660594505,5,,Aggregated,2.200000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,307,0,1100.0,1276.2207648213855,426.0424999811221,4151.503299974138,744467.2247557003
1660594506,5,,Aggregated,2.200000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,311,0,1100.0,1278.8534090037074,426.0424999811221,4151.503299974138,747180.575562701
1660594507,5,,Aggregated,2.000000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,313,0,1100.0,1278.023378914237,426.0424999811221,4151.503299974138,750112.6102236422
1660594508,5,,Aggregated,2.000000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,314,0,1100.0,1276.3791079622742,426.0424999811221,4151.503299974138,747754.3184713376
1660594509,5,,Aggregated,2.100000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,316,0,1100.0,1277.553543354966,426.0424999811221,4151.503299974138,751325.082278481
1660594510,5,,Aggregated,2.200000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,321,0,1100.0,1274.7797591906772,426.0424999811221,4151.503299974138,755476.5794392524
1660594511,5,,Aggregated,2.100000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,322,0,1100.0,1272.7432618018345,426.0424999811221,4151.503299974138,753205.3944099379
1660594512,5,,Aggregated,2.100000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,323,0,1100.0,1271.777683901532,426.0424999811221,4151.503299974138,751244.334365325
1660594513,5,,Aggregated,2.200000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,326,0,1100.0,1274.5582365035937,426.0424999811221,4151.503299974138,761733.5766871165
1660594514,5,,Aggregated,2.100000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,328,0,1100.0,1279.0321609761854,426.0424999811221,4151.503299974138,767999.6981707317
1660594515,5,,Aggregated,2.200000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,331,0,1100.0,1276.9082543812797,426.0424999811221,4151.503299974138,764682.1389728097
1660594516,5,,Aggregated,2.200000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,331,0,1100.0,1276.9082543812797,426.0424999811221,4151.503299974138,764682.1389728097
1660594517,5,,Aggregated,2.200000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,333,0,1100.0,1277.690824024661,426.0424999811221,4151.503299974138,767308.3963963964
1660594518,5,,Aggregated,2.100000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,337,0,1100.0,1281.6928451045178,426.0424999811221,4151.503299974138,773008.7270029674
1660594519,5,,Aggregated,2.200000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,339,0,1100.0,1278.5711259592997,426.0424999811221,4151.503299974138,769144.3215339233
1660594520,5,,Aggregated,2.200000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,343,0,1100.0,1272.0335358607008,426.0424999811221,4151.503299974138,761560.5335276967
1660594521,5,,Aggregated,2.200000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,345,0,1100.0,1269.0559950732268,426.0424999811221,4151.503299974138,758373.4956521739
1660594522,5,,Aggregated,2.300000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,348,0,1100.0,1267.5328939662538,426.0424999811221,4151.503299974138,753677.5201149426
1660594523,5,,Aggregated,2.300000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,349,0,1100.0,1266.5867492844109,426.0424999811221,4151.503299974138,752196.759312321
1660594524,5,,Aggregated,2.500000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,353,0,1100.0,1265.3173546749695,426.0424999811221,4151.503299974138,754487.7110481586
1660594525,5,,Aggregated,2.500000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,353,0,1100.0,1265.3173546749695,426.0424999811221,4151.503299974138,754487.7110481586
1660594526,5,,Aggregated,2.600000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,356,0,1100.0,1267.915718540045,426.0424999811221,4151.503299974138,763101.3370786516
1660594527,5,,Aggregated,2.600000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,358,0,1100.0,1269.9468569839328,426.0424999811221,4151.503299974138,762211.4245810056
1660594528,5,,Aggregated,2.200000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,360,0,1100.0,1267.1359563895546,426.0424999811221,4151.503299974138,758680.1333333333
1660594529,5,,Aggregated,2.500000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,363,0,1100.0,1267.9065724523878,426.0424999811221,4151.503299974138,760040.0771349862
1660594530,5,,Aggregated,2.300000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,366,0,1100.0,1265.6774918037936,426.0424999811221,4151.503299974138,758731.087431694
1660594531,5,,Aggregated,2.300000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,369,0,1100.0,1261.4341094856609,426.0424999811221,4151.503299974138,753660.8401084011
1660594532,5,,Aggregated,2.300000,0.000000,1100,1300,1600,1800,2200,2600,3200,3400,4200,4200,4200,370,0,1100.0,1259.6865805411064,426.0424999811221,4151.503299974138,751687.9162162162
1660594533,5,,Aggregated,2.300000,0.000000,1100,1300,1600,1700,2200,2600,3200,3400,4200,4200,4200,373,0,1100.0,1259.039431635912,426.0424999811221,4151.503299974138,750541.3672922252
1660594534,5,,Aggregated,2.200000,0.000000,1100,1300,1600,1700,2200,2600,3200,3400,4200,4200,4200,374,0,1100.0,1259.4876679149675,426.0424999811221,4151.503299974138,751703.1149732621
1660594535,5,,Aggregated,2.200000,0.000000,1100,1300,1600,1700,2200,2600,3200,3400,4200,4200,4200,377,0,1100.0,1261.7923867379548,426.0424999811221,4151.503299974138,756370.448275862
1660594536,5,,Aggregated,2.100000,0.000000,1100,1300,1600,1700,2200,2600,3200,3400,4200,4200,4200,379,0,1100.0,1261.261221900288,426.0424999811221,4151.503299974138,757669.2321899736
1660594537,5,,Aggregated,2.100000,0.000000,1100,1300,1600,1700,2200,2600,3200,3400,4200,4200,4200,382,0,1100.0,1259.0776976445263,426.0424999811221,4151.503299974138,752857.4136125655
1660594538,5,,Aggregated,2.500000,0.000000,1100,1300,1600,1700,2200,2600,3200,3400,4200,4200,4200,383,0,1100.0,1257.6105240214185,426.0424999811221,4151.503299974138,751203.9660574412
1660594539,5,,Aggregated,2.400000,0.000000,1100,1300,1600,1700,2200,2600,3200,3400,4200,4200,4200,386,0,1100.0,1260.316082124853,426.0424999811221,4151.503299974138,756116.8549222798
1660594540,5,,Aggregated,2.300000,0.000000,1100,1300,1600,1700,2200,2600,3200,3400,4200,4200,4200,389,0,1100.0,1260.583349871901,426.0424999811221,4151.503299974138,759613.5398457584
1660594541,5,,Aggregated,2.300000,0.000000,1100,1300,1600,1700,2200,2600,3200,3400,4200,4200,4200,390,0,1100.0,1259.841564102979,426.0424999811221,4151.503299974138,758594.7974358974
